Commune,commune_label,n_menages,milieu
1,BAMBYLOR,40,Periurbain
2,BISCUITERIE,68,Urbain
3,CA.MERMOZ/ SACRE -COEUR,16,Urbain
4,CAMBERENE,30,Urbain
5,COLOBANE/FASS/GUEULE TAPEE,103,Urbain
6,COM. BARGNY,47,Periurbain
7,COM. DIAMNIADIO,42,Periurbain
8,COM. JAXAAY PARCELLE NIAKOUL RAP,50,Periurbain
9,COM. SANGALKAM,29,Periurbain
10,COM. SEBIKOTANE,97,Periurbain
11,COM. SENDOU,11,Periurbain
12,DALIFORD,1,Periurbain
13,DIACK SAO,66,Periurbain
14,DIAMAGUENE/SICAP M'BAO,106,Urbain
16,DJIDAH THIAROYE KAO,60,Urbain
17,FANN/POINT E/ AMITIE,33,Urbain
18,GOLF SUD,78,Urbain
19,GOREE,61,Urbain
20,GRAND DAKAR,17,Urbain
21,GRAND YOFF,121,Urbain
22,GUINAW RAIL NORD,29,Urbain
23,GUINAW RAIL SUD,35,Urbain
25,HLM,68,Urbain
26,KEUR MASSAR,121,Periurbain
27,M'BAO,70,Urbain
28,MALIKA,36,Periurbain
29,MEDINA,85,Urbain
30,MEDINA GOUNASS,28,Urbain
31,N'DIAREME LIMAMOULAYE,29,Urbain
32,N'GOR,5,Urbain
33,OUAKAM,40,Urbain
34,PARCELLES ASSAINIES,79,Urbain
35,PATTE D'OIE,19,Urbain
36,PIKINE EST,36,Urbain
37,PIKINE OUEST,42,Urbain
38,PIKINE SUD,39,Urbain
39,PLATEAU,22,Urbain
40,RUFISQUE CENTRE (NORD),60,Periurbain
41,RUFISQUE EST,44,Periurbain
42,RUFISQUE OUEST,46,Periurbain
43,SAM NOTAIRE,35,Urbain
44,SICAP LIBERTE,43,Urbain
45,THIAROYE /MER,39,Urbain
46,THIAROYE GARE,21,Urbain
47,TIVAOUANE PEULH-NIAGHA,28,Periurbain
48,WAKHINANE NIMZATT,72,Urbain
49,YENE,42,Periurbain
50,YEUMBEUL NORD,99,Urbain
51,YEUMBEUL SUD,60,Urbain
52,YOFF,21,Urbain
